id,kanji_id,ja-Hira,ja-Latn
1,1,せん,sen
2,2,せい,sei
3,2,しょう,shou
4,3,がく,gaku
5,4,じん,jin
6,5,いち,ichi
7,6,に,ni
8,7,さん,san
9,8,し,shi
10,9,ご,go
11,10,ろく,roku
12,11,しち,shichi
13,12,はち,hachi
14,13,きゅう,kyuu
15,14,じゅう,juu
16,15,ひゃく,hyaku
17,16,せん,sen
18,17,まん,man
19,18,えん,en
20,19,じ,ji
21,20,ふん,fun
22,20,ぶん,bun
23,21,はん,han
24,22,か,ka
25,23,にち,nichi
26,23,じつ,jitsu
27,24,ほん,hon
28,25,げつ,getsu
29,25,がつ,gatsu
30,26,か,ka
31,27,すい,sui
32,28,もく,moku
33,29,きん,kin
34,30,ど,do
35,31,ねん,nen
36,32,こん,kon
37,33,まい,mai
38,34,ご,go
39,35,ぜん,zen
40,36,ご,go
41,36,こう,kou
42,37,じょう,jou
43,38,か,ka
44,39,ちゅう,chuu
45,40,だい,dai
46,40,たい,tai
47,41,しょう,shou
48,42,こう,kou
49,43,あん,an
50,44,しん,shin
51,45,こ,ko
52,46,ちょう,chou
53,47,たん,tan
54,48,た,ta
55,49,しょう,shou
56,50,こう,kou
57,51,らい,rai
58,52,こう,kou
59,53,き,ki
60,54,しょく,shoku
61,55,いん,in
62,56,ばい,bai
63,57,ばい,bai
64,58,けん,ken
65,59,ぶん,bun
66,60,わ,wa
67,61,どく,doku
68,62,しょ,sho
69,63,さく,saku
70,64,かい,kai
71,65,げん,gen
72,65,ごん,gon
73,66,し,shi
74,67,ち,chi
75,68,しゅつ,shutsu
76,69,にゅう,nyuu
77,70,りつ,ritsu
78,71,きゅう,kyuu
79,72,どう,dou
80,73,べん,ben
81,74,きょう,kyou
82,75,ゆう,yuu
83,76,か,ka
84,77,しゃ,sha
85,78,でん,den
86,79,えき,eki
87,80,てん,ten
88,81,びょう,byou
89,82,いん,in
90,83,ぎん,gin
91,84,しゃ,sha
92,85,こう,kou
93,86,こく,koku
94,87,がい,gai
95,88,ない,nai
96,89,さ,sa
97,90,う,u
98,91,とう,tou
99,92,せい,sei
100,92,さい,sai
101,93,なん,nan
102,94,ほく,hoku
103,95,こう,kou
104,96,もく,moku
105,97,しゅ,shu
106,98,そく,soku
107,99,じ,ji
108,100,めい,mei
109,100,みょう,myou
110,101,し,shi
111,102,ぼ,bo
112,103,ふ,fu
6,4,にん,nin